site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
POSU,POSU0xPOL,POL,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
POTU,POTU0xPOL,POL,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,21386
POWA,POWA0xPOL,POL,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
POWW,POWW0xPOL,POL,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
PRAC,PRAC0xPRT,PRT,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
PRBR,PRBR0xPRT,PRT,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
PRGU,PRGU0xPRT,PRT,EU,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
PRLA,PRLA0xPRT,PRT,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
PRLB,PRLB0xPRT,PRT,EU,100.000,2663520,0,16620,brief-failover,2663520,0,43200,3,24510
PRLE,PRLE0xPRT,PRT,EU,100.000,2663520,0,16620,brief-failover,2663520,0,43200,3,13039
PRMA,PRMA0xPRT,PRT,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,38882
PRMD,PRMD0xPRT,PRT,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
ROBC,ROBC0xROU,ROU,EU,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
ROBO,ROBO0xROU,ROU,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
ROBR,ROBR0xROU,ROU,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,7371
RODE,RODE0xROU,ROU,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,586
ROMA,ROMA0xROU,ROU,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
RONA,RONA0xROU,ROU,EU,0.000,0,2663520,16620,offline-entire-window,0,2663520,0,0,
ROSG,ROSG0xROU,ROU,EU,99.975,2662860,660,16620,brief-failover,2662860,660,28800,2,16833
ROSI,ROSI0xROU,ROU,EU,99.977,2662920,600,16620,brief-failover,2662920,600,28800,2,3889
ROTM,ROTM0xROU,ROU,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,86400,7,6255
ROTU,ROTU0xROU,ROU,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
SVBB,SVBB0xSVK,SVK,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,100800,7,7415
SVKE,SVKE0xSVK,SVK,EU,0.000,0,2663520,16620,offline-entire-window,0,2663520,0,0,
SWGA,SWGA0xSWE,SWE,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
SWGO,SWGO0xSWE,SWE,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
SWGV,SWGV0xSWE,SWE,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
SWHU,SWHU0xSWE,SWE,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
SWJO,SWJO0xSWE,SWE,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
SWKA,SWKA0xSWE,SWE,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
SWKR,SWKR0xSWE,SWE,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
