site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
PRBR,PRBR0xPRT,PRT,EU,100.000,84600,0,1860
PRGU,PRGU0xPRT,PRT,EU,100.000,84600,0,1860
PRLA,PRLA0xPRT,PRT,EU,100.000,84600,0,1860
PRLB,PRLB0xPRT,PRT,EU,100.000,84600,0,1860
PRLE,PRLE0xPRT,PRT,EU,100.000,84600,0,1860
PRMA,PRMA0xPRT,PRT,EU,100.000,84600,0,1860
PRMD,PRMD0xPRT,PRT,EU,100.000,84600,0,1860
ROBC,ROBC0xROU,ROU,EU,100.000,84600,0,1860
ROBO,ROBO0xROU,ROU,EU,100.000,84600,0,1860
ROBR,ROBR0xROU,ROU,EU,100.000,84600,0,1860
RODE,RODE0xROU,ROU,EU,100.000,84600,0,1860
ROMA,ROMA0xROU,ROU,EU,100.000,84600,0,1860
RONA,RONA0xROU,ROU,EU,0.000,0,84600,1860
ROSG,ROSG0xROU,ROU,EU,100.000,84600,0,1860
ROSI,ROSI0xROU,ROU,EU,100.000,84600,0,1860
ROTM,ROTM0xROU,ROU,EU,100.000,84600,0,1860
ROTU,ROTU0xROU,ROU,EU,100.000,84600,0,1860
SVBB,SVBB0xSVK,SVK,EU,100.000,84600,0,1860
SVKE,SVKE0xSVK,SVK,EU,0.000,0,84600,1860
SWGA,SWGA0xSWE,SWE,EU,100.000,84600,0,1860
SWGO,SWGO0xSWE,SWE,EU,100.000,84600,0,1860
SWGV,SWGV0xSWE,SWE,EU,100.000,84600,0,1860
SWHU,SWHU0xSWE,SWE,EU,100.000,84600,0,1860
SWJO,SWJO0xSWE,SWE,EU,100.000,84600,0,1860
SWKA,SWKA0xSWE,SWE,EU,100.000,84600,0,1860
SWKR,SWKR0xSWE,SWE,EU,100.000,84600,0,1860
SWLJ,SWLJ0xSWE,SWE,EU,100.000,84600,0,1860
SWLU,SWLU0xSWE,SWE,EU,100.000,84600,0,1860
SWMA,SWMA0xSWE,SWE,EU,100.000,84600,0,1860
SWNO,SWNO0xSWE,SWE,EU,100.000,84600,0,1860
SWNY,SWNY0xSWE,SWE,EU,99.291,84000,600,1860
SWOB,SWOB0xSWE,SWE,EU,99.291,84000,600,1860
SWOK,SWOK0xSWE,SWE,EU,100.000,84600,0,1860
SWOS,SWOS0xSWE,SWE,EU,100.000,84600,0,1860
SWSG,SWSG0xSWE,SWE,EU,100.000,84600,0,1860
SWSK,SWSK0xSWE,SWE,EU,100.000,84600,0,1860
SWST,SWST0xSWE,SWE,EU,100.000,84600,0,1860
SWUD,SWUD0xSWE,SWE,EU,100.000,84600,0,1860
SWVA,SWVA0xSWE,SWE,EU,100.000,84600,0,1860
