site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
PRBR,PRBR0xPRT,PRT,EU,100.000,75000,0,11400
PRGU,PRGU0xPRT,PRT,EU,100.000,75000,0,11400
PRLA,PRLA0xPRT,PRT,EU,100.000,75000,0,11400
PRLB,PRLB0xPRT,PRT,EU,100.000,75000,0,11400
PRLE,PRLE0xPRT,PRT,EU,100.000,75000,0,11400
PRMA,PRMA0xPRT,PRT,EU,100.000,75000,0,11400
PRMD,PRMD0xPRT,PRT,EU,100.000,75000,0,11400
ROBC,ROBC0xROU,ROU,EU,100.000,75000,0,11400
ROBO,ROBO0xROU,ROU,EU,100.000,75000,0,11400
ROBR,ROBR0xROU,ROU,EU,100.000,75000,0,11400
RODE,RODE0xROU,ROU,EU,100.000,75000,0,11400
ROMA,ROMA0xROU,ROU,EU,100.000,75000,0,11400
RONA,RONA0xROU,ROU,EU,0.000,0,75000,11400
ROSG,ROSG0xROU,ROU,EU,100.000,75000,0,11400
ROSI,ROSI0xROU,ROU,EU,100.000,75000,0,11400
ROTM,ROTM0xROU,ROU,EU,100.000,75000,0,11400
ROTU,ROTU0xROU,ROU,EU,100.000,75000,0,11400
SVBB,SVBB0xSVK,SVK,EU,100.000,75000,0,11400
SVKE,SVKE0xSVK,SVK,EU,0.000,0,75000,11400
SWGA,SWGA0xSWE,SWE,EU,100.000,75000,0,11400
SWGO,SWGO0xSWE,SWE,EU,100.000,75000,0,11400
SWGV,SWGV0xSWE,SWE,EU,100.000,75000,0,11400
SWHU,SWHU0xSWE,SWE,EU,100.000,75000,0,11400
SWJO,SWJO0xSWE,SWE,EU,100.000,75000,0,11400
SWKA,SWKA0xSWE,SWE,EU,100.000,75000,0,11400
SWKR,SWKR0xSWE,SWE,EU,100.000,75000,0,11400
SWLJ,SWLJ0xSWE,SWE,EU,100.000,75000,0,11400
SWLU,SWLU0xSWE,SWE,EU,100.000,75000,0,11400
SWMA,SWMA0xSWE,SWE,EU,100.000,75000,0,11400
SWNO,SWNO0xSWE,SWE,EU,100.000,75000,0,11400
SWNY,SWNY0xSWE,SWE,EU,100.000,75000,0,11400
SWOB,SWOB0xSWE,SWE,EU,100.000,75000,0,11400
SWOK,SWOK0xSWE,SWE,EU,100.000,75000,0,11400
SWOS,SWOS0xSWE,SWE,EU,100.000,75000,0,11400
SWSG,SWSG0xSWE,SWE,EU,100.000,75000,0,11400
SWSK,SWSK0xSWE,SWE,EU,100.000,75000,0,11400
SWST,SWST0xSWE,SWE,EU,100.000,75000,0,11400
SWUD,SWUD0xSWE,SWE,EU,100.000,75000,0,11400
SWVA,SWVA0xSWE,SWE,EU,100.000,75000,0,11400
