site,name,country,sar_avail_pct,sar_up_seconds,sar_down_seconds,dcups_avail_pct,dcups_up_seconds,dcups_down_seconds,orion_active_pct,orion_avg_bytes_per_s,orion_max_bytes_per_s
GRIG,GRIG0xGRC,GRC,100.000,2585460,0,99.935,2587020,1680,0.000,0,0
GRKE,GRKE0xGRC,GRC,100.000,2585460,0,100.000,2568180,0,0.000,0,0
GRKL,GRKL0xGRC,GRC,100.000,2585460,0,99.750,2581320,6480,0.000,0,0
GRKV,GRKV0xGRC,GRC,100.000,2585460,0,100.000,2588700,0,0.009,0,0
GRLB,GRLB0xGRC,GRC,100.000,2585460,0,100.000,2587620,0,0.000,0,0
GRNX,GRNX0xGRC,GRC,99.838,2581260,4200,99.416,2573220,15120,0.065,0,0
GROS,GROS0xGRC,GRC,100.000,2585460,0,100.000,2587140,0,0.000,0,0
GRPS,GRPS0xGRC,GRC,100.000,2585460,0,97.114,2513340,74700,0.009,0,0
GRRO,GRRO0xGRC,GRC,100.000,2585460,0,100.000,2587560,0,0.000,0,0
GRSA,GRSA0xGRC,GRC,100.000,2585460,0,100.000,2587860,0,0.009,0,0
GRTA,GRTA0xGRC,GRC,99.926,2583540,1920,100.000,2588520,0,0.009,0,0
GRVO,GRVO0xGRC,GRC,100.000,2585460,0,100.000,2588280,0,0.037,0,0
HRLA,HRLA0xHRV,HRV,100.000,2585460,0,99.822,2584500,4620,0.028,0,0
HRPL,HRPL0xHRV,HRV,100.000,2585460,0,99.458,2574840,14040,0.019,0,0
HRSB,HRSB0xHRV,HRV,100.000,2585460,0,99.961,2585700,1020,0.019,0,0
HRVV,HRVV0xHRV,HRV,100.000,2585460,0,100.000,2587500,0,0.000,0,0
HUBU,HUBU0xHUN,HUN,100.000,2585460,0,,,,0.158,0,0
HUNY,HUNY0xHUN,HUN,99.977,2584860,600,,,,0.128,0,0
HUSZ,HUSZ0xHUN,HUN,100.000,2585460,0,,,,0.111,0,0
HUVE,HUVE0xHUN,HUN,100.000,2585460,0,,,,0.102,0,0
IRBA,IRBA0xIRL,IRL,100.000,2585460,0,100.000,2588640,0,0.019,0,0
IRCO,IRCO0xIRL,IRL,100.000,2585460,0,99.780,2581500,5700,0.000,0,0
IRDU,IRDU0xIRL,IRL,100.000,2585460,0,100.000,2587320,0,0.019,0,0
IREN,IREN0xIRL,IRL,100.000,2585460,0,100.000,2589180,0,0.019,0,0
IRLD,IRLD0xIRL,IRL,99.903,2582940,2520,100.000,2585820,0,0.046,0,0
IRWA,IRWA0xIRL,IRL,100.000,2585460,0,100.000,2586480,0,0.019,0,0
ITAL,ITAL0xITA,ITA,98.863,2556060,29400,100.000,2547900,0,3.648,0,0
ITAN,ITAN0xITA,ITA,100.000,2585460,0,99.930,2586600,1800,0.009,0,0
ITAP,ITAP0xITA,ITA,99.930,2583660,1800,100.000,2588340,0,0.009,0,0
ITBI,ITBI0xITA,ITA,99.977,2584860,600,99.917,2586480,2160,0.102,0,0
ITCA,ITCA0xITA,ITA,100.000,2585460,0,99.703,2579460,7680,0.000,0,0
ITCI,ITCI0xITA,ITA,100.000,2585460,0,100.000,2588640,0,0.113,0,0
ITDO,ITDO0xITA,ITA,99.974,2584800,660,100.000,2588520,0,0.039,0,0
ITFO,ITFO0xITA,ITA,99.977,2584860,600,100.000,2588580,0,0.037,0,0
ITLE,ITLE0xITA,ITA,100.000,2585460,0,99.042,2562300,24780,0.000,0,0
ITMA,ITMA0xITA,ITA,100.000,2585460,0,100.000,2587560,0,0.000,0,0
ITMI,ITMI0xITA,ITA,99.954,2584260,1200,100.000,2585640,0,0.121,0,0
ITMS,ITMS0xITA,ITA,89.427,2312100,273360,98.443,2276640,36000,2.022,0,0
ITPT,ITPT0xITA,ITA,100.000,2585460,0,99.926,2585460,1920,0.046,0,0
ITRA,ITRA0xITA,ITA,100.000,2585460,0,100.000,2588100,0,0.021,0,0
ITRG,ITRG0xITA,ITA,100.000,2585460,0,100.000,2588820,0,0.056,0,0
ITRS,ITRS0xITA,ITA,99.977,2584860,600,100.000,2588280,0,0.028,0,0
ITSA,ITSA0xITA,ITA,100.000,2585460,0,100.000,2589780,0,0.009,0,0
ITSC,ITSC0xITA,ITA,99.624,2575740,9720,100.000,2588220,0,0.141,0,0
ITSL,ITSL0xITA,ITA,0.000,0,2585460,0.000,0,0,0.000,0,0
ITSP,ITSP0xITA,ITA,100.000,2585460,0,100.000,2588520,0,0.009,0,0
ITTE,ITTE0xITA,ITA,100.000,2585460,0,100.000,2588040,0,0.009,0,0
ITTP,ITTP0xITA,ITA,99.954,2584260,1200,100.000,2588520,0,0.009,0,0
ITTR,ITTR0xITA,ITA,100.000,2585460,0,100.000,2589180,0,0.000,0,0
ITVE,ITVE0xITA,ITA,100.000,2585460,0,100.000,2587260,0,0.000,0,0
NLBR,NLBR0xNLD,NLD,100.000,2585460,0,,,,0.083,0,0
NLMM,NLMM0xNLD,NLD,100.000,2585460,0,,,,0.000,0,0
NLUL,NLUL0xNLD,NLD,100.000,2585460,0,,,,0.000,0,0
NOAL,NOAL0xNOR,NOR,100.000,2585460,0,,,,0.009,0,0
NOBE,NOBE0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
NOBR,NOBR0xNOR,NOR,100.000,2585460,0,,,,0.009,0,0
NOGE,NOGE0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
