account,site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ALL,ESMZ,ESMZ0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESNM,ESNM0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESOV,ESOV0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESSC,ESSC0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESSE,ESSE0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESTA,ESTA0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESVA,ESVA0xESP,ESP,EU,97.016,83880,2580,0,stable,83880,2580,21660,0,
ALL,ESVI,ESVI0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESZA,ESZA0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FIEK,FIEK0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FIHA,FIHA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FIII,FIII0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FIIV,FIIV0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FIJM,FIJM0xFIN,FIN,EU,0.000,0,86460,0,offline-entire-window,0,86460,0,0,
ALL,FIJO,FIJO0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FIKL,FIKL0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FIKM,FIKM0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FILA,FILA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FILV,FILV0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FIMU,FIMU0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FINA,FINA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FISU,FISU0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FITA,FITA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FIUU,FIUU0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FLBR,FLBR0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FLCK,FLCK0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FLHO,FLHO0xUSA,USA,NA,92.922,80340,6120,0,stable,80340,6120,0,0,
ALL,FLLL,FLLL0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FLMB,FLMB0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FLNV,FLNV0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FLOP,FLOP0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FLPJ,FLPJ0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FLPL,FLPL0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,14400,0,
ALL,FLSS,FLSS0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRAC,FRAC0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRAR,FRAR0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRBD,FRBD0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRBE,FRBE0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRBY,FRBY0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRCB,FRCB0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,600,0,
ALL,FRCH,FRCH0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRCO,FRCO0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRDI,FRDI0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRDL,FRDL0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRDU,FRDU0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRGE,FRGE0xFRA,FRA,EU,98.473,85140,1320,0,stable,85140,1320,21720,0,
ALL,FRHR,FRHR0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,14400,0,
ALL,FRHV,FRHV0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRLA,FRLA0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRLM,FRLM0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRLO,FRLO0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRMC,FRMC0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRMG,FRMG0xFRA,FRA,EU,0.000,0,86460,0,offline-entire-window,0,86460,0,0,
ALL,FRMO,FRMO0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRNA,FRNA0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRNI,FRNI0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRPE,FRPE0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRPT,FRPT0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRRF,FRRF0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRRO,FRRO0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRSG,FRSG0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,FRVA,FRVA0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,5400,0,
ALL,GACA,GACA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GACB,GACB0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GADE,GADE0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GAMR,GAMR0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GASV,GASV0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBCC,GBCC0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBCD,GBCD0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBCT,GBCT0xGBR,GBR,EU,99.237,85800,660,0,stable,85800,660,14400,0,
ALL,GBDB,GBDB0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBGY,GBGY0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBKS,GBKS0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBLH,GBLH0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBLP,GBLP0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBNQ,GBNQ0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBOB,GBOB0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBPH,GBPH0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBSA,GBSA0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBSB,GBSB0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBTA,GBTA0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBUS,GBUS0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GBWH,GBWH0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
