site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
NOBR,NOBR0xNOR,NOR,EU,100.000,2663520,0,16620
NOGE,NOGE0xNOR,NOR,EU,99.977,2662920,600,16620
NOHA,NOHA0xNOR,NOR,EU,100.000,2663520,0,16620
NOKR,NOKR0xNOR,NOR,EU,100.000,2663520,0,16620
NOKU,NOKU0xNOR,NOR,EU,100.000,2663520,0,16620
NOLF,NOLF0xNOR,NOR,EU,100.000,2663520,0,16620
NONO,NONO0xNOR,NOR,EU,100.000,2663520,0,16620
NOPG,NOPG0xNOR,NOR,EU,100.000,2663520,0,16620
NORO,NORO0xNOR,NOR,EU,100.000,2663520,0,16620
NOSE,NOSE0xNOR,NOR,EU,100.000,2663520,0,16620
NOSV,NOSV0xNOR,NOR,EU,100.000,2663520,0,16620
NOTR,NOTR0xNOR,NOR,EU,100.000,2663520,0,16620
NOVA,NOVA0xNOR,NOR,EU,100.000,2663520,0,16620
NOVI,NOVI0xNOR,NOR,EU,100.000,2663520,0,16620
PRAC,PRAC0xPRT,PRT,EU,100.000,2663520,0,16620
PRBR,PRBR0xPRT,PRT,EU,100.000,2663520,0,16620
PRGU,PRGU0xPRT,PRT,EU,99.975,2662860,660,16620
PRLA,PRLA0xPRT,PRT,EU,100.000,2663520,0,16620
PRLB,PRLB0xPRT,PRT,EU,100.000,2663520,0,16620
PRLE,PRLE0xPRT,PRT,EU,100.000,2663520,0,16620
PRMA,PRMA0xPRT,PRT,EU,100.000,2663520,0,16620
PRMD,PRMD0xPRT,PRT,EU,100.000,2663520,0,16620
ROBC,ROBC0xROU,ROU,EU,99.975,2662860,660,16620
ROBO,ROBO0xROU,ROU,EU,100.000,2663520,0,16620
ROBR,ROBR0xROU,ROU,EU,100.000,2663520,0,16620
RODE,RODE0xROU,ROU,EU,100.000,2663520,0,16620
ROMA,ROMA0xROU,ROU,EU,99.977,2662920,600,16620
RONA,RONA0xROU,ROU,EU,0.000,0,2663520,16620
ROSG,ROSG0xROU,ROU,EU,99.975,2662860,660,16620
ROSI,ROSI0xROU,ROU,EU,99.977,2662920,600,16620
ROTM,ROTM0xROU,ROU,EU,100.000,2663520,0,16620
ROTU,ROTU0xROU,ROU,EU,100.000,2663520,0,16620
SVBB,SVBB0xSVK,SVK,EU,100.000,2663520,0,16620
SVKE,SVKE0xSVK,SVK,EU,0.000,0,2663520,16620
SWGA,SWGA0xSWE,SWE,EU,100.000,2663520,0,16620
SWGO,SWGO0xSWE,SWE,EU,100.000,2663520,0,16620
SWGV,SWGV0xSWE,SWE,EU,100.000,2663520,0,16620
SWHU,SWHU0xSWE,SWE,EU,100.000,2663520,0,16620
SWJO,SWJO0xSWE,SWE,EU,100.000,2663520,0,16620
SWKA,SWKA0xSWE,SWE,EU,99.977,2662920,600,16620
SWKR,SWKR0xSWE,SWE,EU,100.000,2663520,0,16620
SWLJ,SWLJ0xSWE,SWE,EU,100.000,2663520,0,16620
SWLU,SWLU0xSWE,SWE,EU,100.000,2663520,0,16620
SWMA,SWMA0xSWE,SWE,EU,100.000,2663520,0,16620
SWNO,SWNO0xSWE,SWE,EU,99.975,2662860,660,16620
SWNY,SWNY0xSWE,SWE,EU,100.000,2663520,0,16620
SWOB,SWOB0xSWE,SWE,EU,100.000,2663520,0,16620
SWOK,SWOK0xSWE,SWE,EU,100.000,2663520,0,16620
SWOS,SWOS0xSWE,SWE,EU,99.975,2662860,660,16620
SWSG,SWSG0xSWE,SWE,EU,100.000,2663520,0,16620
SWSK,SWSK0xSWE,SWE,EU,100.000,2663520,0,16620
SWST,SWST0xSWE,SWE,EU,100.000,2663520,0,16620
SWUD,SWUD0xSWE,SWE,EU,100.000,2663520,0,16620
SWVA,SWVA0xSWE,SWE,EU,100.000,2663520,0,16620
